col_name,meaning
Q66D,NUMBER OF TIMES (12 MOS): STOLEN VEHICLE
Q66E,NUMBER OF TIMES (12 MOS): BEEN ARRESTED
Q66F,NUMBER OF TIMES (12 MOS): ATTACKED TO HURT
Q66H,NUMBER OF TIMES (12 MOS): HANDGUN TO SCHOOL
FL122,NUMBER OF TIMES (12 MOS): DRANK BEFORE OR DURING SCHOOL
FL123,NUMBER OF TIMES (12 MOS): SMOKED MARIJUANA BEFORE OR DURING SCHOOL
FL124,NUMBER OF TIMES (12 MOS): OTHER DRUG BEFORE OR DURING SCHOOL
Q74AX,HOW WRONG PARENTS FEEL FOR YOU TO DRINK NEARLY EVERY DAY
Q74B,HOW WRONG PARENTS FEEL FOR YOU TO SMOKE CIGARETTES
Q74C,HOW WRONG PARENTS FEEL FOR YOU TO SMOKE MARIJUANA
FL125,HOW WRONG PARENTS FEEL FOR YOU USE RX DRUGS
Q76,RULES IN MY FAMILY ARE CLEAR
Q77,FAMILY MEMBERS WITH ALCOHOL OR DRUG PROBLEMS
FL508,TALKED WITH PARENTS ABOUT RX DRUGS IN PAST 12 MONTHS
Q2909,FAMILY INSULTS OR YELLS AT EACH OTHER
Q79,PARENTS KNOW WHO I AM WITH
Q2911,FAMILY ARGUES SAME THINGS OVER AND OVER
Q82,WOULD PARENTS CATCH IF DRANK ALCOHOL
Q83,FAMILY HAS CLEAR RULES ON ALCOHOL AND DRUGS USE
Q84,WOULD PARENTS CATCH IF CARRIED GUN
Q85,WOULD PARENTS CATCH IF SKIPPED SCHOOL
Q86,PARENTS NOTICE MY GOOD JOB
Q89,PARENTS ASK FOR INPUT ON FAMILY DECISIONS
Q91,HOW OFTEN PARENTS PRAISE
Q93,DO YOU ENJOY SPENDING TIME WITH MOTHER
Q94,DO YOU ENJOY SPENDING TIME WITH FATHER
Q96,COULD ASK MOM OR DAD FOR HELP WITH PROBLEMS
Q99,HAVE CHANCES TO DO FUN THINGS WITH PARENTS
Q78,PARENTS ASK ABOUT HOMEWORK
Q2910,FAMILY HAS SEROUS ARGUEMENTS
Q80,PARENTS KNOW IF HOME ON TIME
FL509,HOURS OF SLEEP ON AVERAGE SCHOOL NIGHT
FL510X,HOURS PER WEEK HANGING WITH FRIENDS WITH NO ADULTS PRESENT
